Stage,Company Name,Address 1,City/State,Postal/Zip,Country,Email/WWW Address,Email,Date Added,Phone,Stock Symbol
,"Connect Biopharm, LLC",12265 El Camino Real Suite 350,"San Diego, CA",92130,United States of America,https://www.connectbiopharm.com,,7/16/2024 9:22,,CNTB
,Intergalactic Therapeutics,150 Cambridgepark Dr,"Cambridge, MA",2140,United States of America,,,7/16/2024 9:22,,NONE
,"Verve Therapeutics, Inc.","500 Technology Square, Suite 901","Cambridge, MA",2139,United States of America,https://www.vervetx.com/,,7/16/2024 9:22,(617) 603-0070,VERV
,BlueWhale Bio,2929 Arch Street,"Philadelphia, PA",19104,United States of America,,,7/16/2024 9:22,,
,Nuvectis Pharma,1 Bridge Plaza 2nd Floor,"Fort Lee, NJ",7024,United States of America,https://nuvectis.com,,7/16/2024 9:22,(201) 614-3150,NVCT
,"Treeline Biosciences, Inc.","500 Arsenal Street, 2nd Floor","Watertown, MA",2472,United States of America,http://www.treelinebiosciences.com/,,7/16/2024 9:22,,NONE
,Dispatch Biotherapeutics,601 Walnut Street,"Philadelphia, PA",19106,United States of America,https://www.dispatchbio.com/,,7/16/2024 9:22,,
,Abdera Therapeutics,901 Gateway Blvd.,"South San Francisco, CA",94080,United States of America,https://abderatherapeutics.com/,,7/16/2024 9:22,(778) 200-2999,
,Asteroid Therapeutics,,"Marlbrough, MA",94070,United States of America,https://www.linkedin.com/company/1185/,,7/16/2024 9:22,,NONE
,Gurnet Point Capital,55 Cambridge Parkway Suite 401,"Cambridge, MA",2142,United States of America,http://www.gurnetpointcapital.com/,,7/16/2024 9:22,(617) 588-4900,
,Dovetail Genomics,"100 Enterprise Way, A101","Scotts Valley, CA",95066,United States of America,http://dovetailgenomics.com/,,7/16/2024 9:22,(831) 713-4465,NONE
,Carma Cell Therapies,,", ",,,,,7/16/2024 9:22,,NONE
,"UroGen Pharma, Inc.",400 Alexander Park,"Princeton, NJ",8540,United States of America,https://www.urogen.com,,7/16/2024 9:22,(646) 768-9780,URGN
,Pharmacosmos Therapeutics,Roervangsvej 30,"Holbaek, DK-4300",,Denmark,www.pharmacosmos.com,,7/16/2024 9:22,+45 5948 5959,NONE
,"NeuroTrauma Sciences, LLC","2655 Northwinds Parkway, Suite 5C","Alpharetta, GA",30009,United States of America,http://www.neurotraumasciences.com/,,7/16/2024 9:22,(833) 278-2888,NONE
,Protara Therapeutics,"345 Park Avenue South, 3rd Floor","New York, NY",10010,United States of America,https://www.protaratx.com,,7/16/2024 9:22,(646) 844-0337,TARA
,Tetra Discovery Partners,2220 Wealthy Street SE,"Grand Rapids, MI",49506,United States of America,http://www.tetradiscovery.com,,7/16/2024 9:22,(616) 635-0937,NONE
,enGene,7171 Rue Frederick Banting,"Montreal, QC",QCH4S 1Z9,Canada,www.engeneinc.com,,7/16/2024 9:22,(604) 221-4362,NONE
,Cresso Health Opco LLC,2103 Elton Lane,"Austin, TX",78703,United States of America,,,7/16/2024 9:22,,
,Stallergenes,Stallergenes,"Norwell, MA",2061,United States of America,www.stallergenes.us,,7/16/2024 9:22,(781) 878-0018,
,Atrium Health (prev. Carolinas HealthCare System),P.O. Box 32861,"Charlotte, NC",28232,United States of America,https://atriumhealth.org,,7/16/2024 9:22,(800) 821-1535,NONE
,Prime Medicine,21 Erie Street,"Cambridge, MA",2139,United States of America,https://primemedicine.com/,,7/16/2024 9:22,,NONE
,AIS Healthcare,"18451 Dallas Parkway, Suite 150","Dallas, TX",75287,United States of America,https://www.aishealthcarepharmacy.com/,,7/16/2024 9:22,(601) 988-1700,NONE
,Stablix (Stealth),"3960 Broadway, 6th Floor","New York, NY",10032,United States of America,https://www.stablix.com/,,7/16/2024 9:22,,NONE
,Judo Bio,"300 Technology Square, 8th Floor","Cambridge, MA",2139,United States of America,,,7/16/2024 9:22,,NONE
,Epi Biologics,,", ",,,no website as of 4/19/2022,,7/16/2024 9:22,,NONE
,Minderoo,PO Box 3155,"Broadway Nedlands, Western Australia",6009,Australia,https://www.minderoo.com.au,,7/16/2024 9:22,+61 8 6460 4949,NONE
,Arialys Therapeutics,11099 N Torrey Pines Rd # 290,"La Jolla, CA",92037,United States of America,https://www.arialysrx.com/,,7/16/2024 9:22,,NONE
,hc1.com,6100 West 96th St. Building A Suite 115,"Indianapolis, IN",46278,United States of America,http://www.hc1.com/,,7/16/2024 9:22,(317) 219-4646,
,Capstone Development Services,9450 Bryn Mawr Avenue Suite 200,"Rosemont, IL",60018,United States of America,http://www.capstonedevservices.com/,,7/16/2024 9:22,(847) 999-0131,
,Ultragenyx,60 Leveroni Court,"Novato, CA",94949,United States of America,https://www.ultragenyx.com/,,7/16/2024 9:22,(415) 483-8800,RARE
,Bioxcel Corporation,780 East Main Street,"Branford, CT",6405,United States of America,http://www.bioxcel.com/,,7/16/2024 9:22,(203) 433-4086,
,Immune Pharmaceuticals,"1 Bridge Plaza North, Suite 270","Fort Lee, NJ",7024,United States of America,https://www.immunepharma.com,,7/16/2024 9:22,(201) 464-2677,IMNPQ
,IPM.ai (a Swoop.com & Real Chemistry company),125 Cambridgepark Drive,"Cambridge, MA",2140,United States of America,https://www.swoop.com/ipm.ai-home,,7/16/2024 9:22,(877) 848-9903,NONE
,"Taiho Oncology, Inc.","101 Carnegie Center, Suite 101","Princeton, NJ",8540,United States of America,https://www.taihooncology.com,,7/16/2024 9:22,(609) 750-5300,NONE
,"HealthMap Solutions, Inc.",4631 Woodland Corporate Boulevard Suite,"Tampa, FL",33614,United States of America,https://www.healthmapsolutions.com/,,7/16/2024 9:22,(877) 546-7004,NONE
,Moment Bio,216 W. Springfield St #1,"Boston, MA",2118,United States of America,,,7/16/2024 9:22,,NONE
,"Cureatr, Inc.",285 W. Broadway Suite 200,"New York, NY",10013,United States of America,https://www.cureatr.com/,,7/16/2024 9:22,(212) 203-3927,NONE
,Manifold Biotechnologies,201 Brookline Ave Suite 902,"Boston, MA",2215,United States of America,https://www.manifold.bio/,,7/16/2024 9:22,,
,Baylor Genetics,2450 Holcombe Blvd.,"Houston, TX",77021,United States of America,https://www.baylorgenetics.com,,7/16/2024 9:22,(800) 411-4363,
,Respira Therapeutics,5901 Indian School Road NE #107,"Albuquerque, NM",87110,United States of America,http://www.respiratherapeutics.com,,7/16/2024 9:22,,NONE
,Xellia Pharmaceuticals,8841 Wadford Drive,"Raleigh, NC",27616,United States of America,www.xellia.com,,7/16/2024 9:22,(919) 327-5500,NONE
,Odonate Therapeutics,3 East 28th Street 10th Floor,"New York, NY",10016,United States of America,https://www.odonate.com,,7/16/2024 9:22,(332) 206-0935,ODTC
,Exonics Therapeutics,"One Broadway, 14th Floor","Cambridge, MA",2142,United States of America,http://exonicstx.com,,7/16/2024 9:22,,NONE
,Neuroelectrics,"1 Broadway, 14th Floor","Cambridge, MA",2142,United States of America,https://www.neuroelectrics.com,,7/16/2024 9:22,(617) 225-4350,
,Arena Bioworks,"399 Binney Street, Suite 300","Cambridge, MA",2142,United States of America,https://www.arenabioworks.com/,,7/16/2024 9:22,,
,Peloton Therapeutics,2330 Inwood Rd Suite 226,"Dallas, TX",75235,United States of America,www.pelotontherapeutics.com,,7/16/2024 9:22,(972) 629-4100,NONE
,Viya Pharmaceuticals,675 US Highway One,"North Brunswick, NJ",8902,,www.viyapharma.com,,7/16/2024 9:22,(908) 963-3408,
,Redesign Health,85 Fifth Ave 8th Floor,"New York, NY",10003,United States of America,https://redesignhealth.com/,,7/16/2024 9:22,(212) 548-6566,NONE
,Vilya Therapeutics,"188 E Blaine Street, Suite 125","Seattle, WA",98102,United States of America,,,7/16/2024 9:22,,NONE
,Delix Therapeutics,20 Authors Rd,"Concord, MA",1742,United States of America,https://www.delixtherapeutics.com,,7/16/2024 9:22,,NONE
,Atropos Health,"71 W 83rd St., Suite 3R","New York, NY",10024,United States of America,https://www.atroposhealth.com/,,7/16/2024 9:22,,NONE
,Catamaran Bio,"700 Main Street, North","Cambridge, MA",2139,United States of America,https://www.catamaranbio.com/,,7/16/2024 9:22,,NONE
,Voyager Therapeutics,75 Sidney Ave,"Cambridge, MA",2139,United States of America,http://voyagertherapeutics.com/,,7/16/2024 9:22,(857) 259-5340,VYGR
,Traws Pharma,12 Penns Trail,"Newtown, PA",18940,United States of America,https://www.trawspharma.com,,7/16/2024 9:22,(267) 759-3680,
,Vedere Bio,"300 Technology Square, 8th Floor","Cambridge, MA",2139,United States of America,https://vederebio.com,,7/16/2024 9:22,(781) 707-8387,NONE
,EQT Partners,"1114 Avenue of the Americas, 45th Floor","New York, NY",10036,United States of America,http://eqtpartners.com/,,7/16/2024 9:22,(917) 281-0850,EQT.ST
,RA Capital,"200 Berkeley Street, 18th Floor","Boston, MA",2116,United States of America,http://www.racap.com/,,7/16/2024 9:22,(617) 778-2509,NONE
,Adheren,"5858 Horton Street, Suite 255","Emeryville, CA",94662,United States of America,www.adheren.com,,7/16/2024 9:22,(510) 879-6971,
,Curium Life Forward,2703 Wagner Place,"Maryland Heights, MO",63043,United States of America,,,7/16/2024 9:22,(888) 744-1414,
,"Leal Therapeutics, Inc.","17 Briden St, #329","Worcester, MA",1605,United States of America,no website as of 7/26/2021,,7/16/2024 9:22,,NONE
,"Sirocco Therapeutics, Inc.",5871 Oberlin Dr #100,"San Diego, CA",92121,United States,,,7/16/2024 9:22,,NONE
,"Frequency Therapeutics, Inc.","75 Hayden Avenue, Suite 300","Lexin, MA",2421,United States of America,https://www.frequencytx.com,,7/16/2024 9:22,(781) 315-4600,FREQ
,RNA newco,"29 Newbury St, Suite 3","Boston, MA",2116,United States of America,,,7/16/2024 9:22,,NONE
,Cedilla Therapeutics,"245 First Street, 3rd Floor","Cambridge, MA",2142,United States of America,https://www.cedillatx.com,,7/16/2024 9:22,(508) 395-5782,NONE
,Bicycle Therapeutics,4 Hartwell Place,"Lexington, MA",2421,United States of America,http://www.bicycletherapeutics.com/,,7/16/2024 9:22,+44 1223 497 415,BCYC
,Light Horse Therapeutics,6175 Nancy Ridge Dr.,"San Diego, CA",92121,United States of America,No website yet,,7/16/2024 9:22,,
,Health Catalyst,"3165 East Millrock Drive, Suite 400","Salt Lake City, UT",84121,United States of America,http://www.healthcatalyst.com/,,7/16/2024 9:22,(855) 309-6800,HCAT
,Siduma Therapeutics,,"New Haven, CT",6501,United States of America,www.sidumathera.com,,7/16/2024 9:22,,NONE
,Gossamer Bio,"3013 Science Park Road, Suite 200","San Diego, CA",92121,United States of America,https://www.gossamerbio.com/,,7/16/2024 9:22,(858) 684-1300,GOSS
,SAI MedPartners LLC,"4970 DeMoss Road, Suite 300","Reading, PA",19606,United States of America,http://www.sai-med.com/,,7/16/2024 9:22,(610) 685-4200,NONE
,Actinium Pharmaceuticals,"275 Madison Avenue, 7th Floor","New York, NY",10016,United States of America,https://www.actiniumpharma.com/,,7/16/2024 9:22,(646) 677-3875,ATNM
,OneStudyTeam (previously Reify Health),"33 Arch St, 17th Floor","Boston, MA",2110,United States of America,https://www.onestudyteam.com/,,7/16/2024 9:22,,NONE
,WaveBreak,1 Main St.,"Cambridge, MA",2142,United States of America,https://wavebreaktx.com,,7/16/2024 9:22,,NONE
,Vatica Health,301 Plus Park Blvd.,"Nashville, TN",37217,United States of America,vaticahealth.com,,7/16/2024 9:22,(800) 624-8846,
,Foresite Labs,"601 California St, Suite 600","San Francisco, CA",94108,United States of America,https://www.foresitelabs.com,,7/16/2024 9:22,,NONE
,NDA Group,200 Princeton South Corporate,"Ewing, NJ",8628,United States of America,https://ndareg.com/,,7/16/2024 9:22,+44 1372 860 610,NONE
,Flame Biosciences,3290 Creamery Road,"New Hope, PA",18938,United States of America,https://flame.bio,,7/16/2024 9:22,,NONE
,Recro Pharma,490 Lapp Road,"Malvern, PA",19355,United States of America,http://recropharma.com,,7/16/2024 9:22,(484) 395-2470,
,Chimeric Therapeutics,"Level 3, 62 Lygon Street",", Carlton South Vic",,Australia,https://www.chimerictherapeutics.com,,7/16/2024 9:22,+61 3 9824 5254,CHM.AX
,Coho Therapeutics,"533 2nd Street, Ste 360","Encinitas, CA",92024,United States of America,https://www.linkedin.com/company/coho-therapeutics/,,7/16/2024 9:22,(858) 465-9876,NONE
,Larkspur Biosciences Inc.,"480 Arsenal Way, Suite 125","Watertown, MA",2472,United States of America,https://larkspur.bio,,7/16/2024 9:22,,NONE
,Janux Therapeutics,"10955 Vista Sorrento Parkway, Suite 300","San Diego, CA",92130,United States of America,https://www.januxrx.com/,,7/16/2024 9:22,(858) 750-4700,JANX
,Blueprint Medicines,45 Sidney Street,"Cambridge, MA",2139,United States of America,https://www.blueprintmedicines.com,,7/16/2024 9:22,(617) 374-7580,BPMC
,Surface Oncology,"50 Hampshire Street, 8th Floor","Cambridge, MA",2139,United States of America,https://www.surfaceoncology.com/,,7/16/2024 9:22,(617) 714-4096,SURF
,XinThera,"12730 High Bluff Drive, Suite 300","San Diego, CA",92130,United States of America,https://xinthera.com/,,7/16/2024 9:22,(858) 617-0962,NONE
,Link Immunotherapeutics,"1616 Eastlake Avenue East, Unit 208","Seattle, WA",98102,United States of America,https://www.linkimmunotherapeutics.com/,,7/16/2024 9:22,,NONE
,HealthVerity,"1818 Market Street, Suite 700","Philadelphia, PA",19103,United States of America,http://healthverity.com,,7/16/2024 9:22,(267) 262-6776,NONE
,NextRNA Therapeutics,650 E Kendall St,"Cambridge, MA",2142,United States of America,https://www.nextrnatx.com/,,7/16/2024 9:22,,NONE
,Kiio Inc,2920 Marketplace Drive  Suite 203,"Madison, WI",53719,United States of America,https://kiio.com,,7/16/2024 9:22,(608) 467-4607,NONE
,Aerium Therapeutics,888 Boylston Street Suite 111,"Boston, MA",2199,United States of America,https://www.aeriumtx.com/,,7/16/2024 9:22,,NONE
,Storm Therapeutics,Babraham Research Campus Moneta Building,"Cambridge, ",CB22 3AT,United Kingdom,http://www.stormtherapeutics.com,,7/16/2024 9:22,+44 1223 804 174,NONE
,Neopharm Labs,865 Michele-Bohec Blvd,"Blainville, MA",J7C 5J6,Canada,www.neopharmlabs.com,,7/16/2024 9:22,(450) 435-8864,NONE
,Opus Genetics,"223 South West Street, Suite 900","Raleigh, NC",27603,United States of America,http://www.opusgtx.com/,,7/16/2024 9:22,,NONE
,Claris Biotherapeutics,,", ",,United States of America,,,7/16/2024 9:22,,
,Compile,405 El Camino Real #608,"Menlo Park, CA",94025,United States of America,https://www.compile.com/,,7/16/2024 9:22,,
,Terremoto Biosciences,"700 Owens Street, Suite 540","San Francisco, CA",94158,United States of America,https://terremotobio.com/,,7/16/2024 9:22,(415) 535-2787,
,Ciox Health,"925 North Point Parkway, Suite 350","Alpharetta, GA",30005,United States of America,www.cioxhealth.com,,7/16/2024 9:22,(770) 360-1700,NONE
,Palleon Pharmaceuticals,266 Second Avenue,"Waltham, MA",2451,United States of America,https://palleonpharma.com/,,7/16/2024 9:22,(857) 285-5900,NONE
,AffyImmune Therapeutics,12 Michigan Drive,"Natick, MA",1760,United States of America,https://affyimmune.com,,7/16/2024 9:22,(617) 699-1965,
,Herophilus,1405 Minnesota St,"San Francisco, CA",94107,United States of America,https://herophilus.com/,,7/16/2024 9:22,(929) 575-5579,NONE
,Harvard Pilgrim Health Care,93 Worcester Street Suite 100,"Boston, MA",2215,United States of America,http://www.harvardpilgrim.org/,,7/16/2024 9:22,(781) 263-6000,NONE
,Capstan Therapeutics,"9880 Campus Point Dr, Suite 220","San Diego, CA",92121,United States of America,https://www.linkedin.com/company/74048722/,,7/16/2024 9:22,,NONE
,Nura Bio,"161 Oyster Point Blvd, Suite 200","South San Francisco, CA",94080,United States of America,https://nurabio.com,,7/16/2024 9:22,,NONE
,Celcuity,16305 – 36th Avenue North Suite 100,"Minneapolis, MN",55446,United States of America,https://celcuity.com/,,7/16/2024 9:22,(763) 392-0767,CELC
,Datavant,44 Montgomery St 3rd Floor,"San Francisco, CA",94104,United States of America,https://datavant.com,,7/16/2024 9:22,,NONE
,Graphite Bio,"279 E Grand Ave, Suite 430","San Francisco, CA",94080,United States of America,https://graphitebio.com/,,7/16/2024 9:22,(650) 484-0886,GRPH
,1859 Inc,"11425 Sorrento Valley Road, Suite 2","San Diego, CA",92121,United States of America,https://www.eighteenfiftynine.com/,,7/16/2024 9:22,,NONE
,SPOROS Bioventures,"3139 W Holcombe Blvd, PMB 8007","Houston, TX",77001,United States of America,https://sporosbioventures.com/,,7/16/2024 9:22,,NONE
,Biolojic Design,"9 Bialik Street, P.O.B 80","Givat Shmuel, Israel -Country",5403905,Israel,http://biolojic.com,,7/16/2024 9:22,,NONE
,TransUnion,,", ",,,,,7/16/2024 9:22,,
,Sail Bio,"300 Technology Square, 8th Floor","Cambridge, MA",2139,United States of America,,,7/16/2024 9:22,,NONE
,AVEO Oncology,650 E. Kendall Street,"Cambridge, MA",2142,United States of America,www.aveooncology.com,,7/16/2024 9:22,(617) 299-5000,
,Carisma Therapeutics (formerly CARMA Therapeutics),"3675 Market St., Ste. 200","Philadelphia, PA",19104,United States of America,http://carismatx.com/,,7/16/2024 9:22,,NONE
,Olive Tree Capital,,"Boston, MA",2108,United States of America,http://www.olivetreecapital.com,,7/16/2024 9:22,,NONE
,Aktis Oncology,"17 Drydock Avenue, Suite#17-401","Boston, MA",2210,United States of America,https://www.aktisoncology.com/,,7/16/2024 9:22,,NONE
,River Vision Development,One Rockefeller Plaza Suite 1204,"New York, NY",10020,United States of America,,,7/16/2024 9:22,(212) 582-8400,NONE
,US Fertility,"9600 Blackwell Road, 5th Floor","Rockville, MD",20850,United States of America,,,7/16/2024 9:22,,
,"Sovereign Medical Services, Inc.",85 Harristown Road,"Glen Rock, NJ",7452,United States of America,https://www.sovereignhealthsystem.com,,7/16/2024 9:22,(201) 834-1100,
,Graybug Vision,"203 Redwood Shores Parkway, Suite 620","Redwood City, CA",94065,United States of America,https://www.graybug.vision/,,7/16/2024 9:22,(650) 487-2800,GRAY
,Celegence,1213 Butterfield Road,"Downers Grove, IL",60515,United States of America,https://www.celegence.com,,7/16/2024 9:22,(331) 481-9562,NONE
,Affini-T Therapeutics Inc.,343 Arsenal Street,"Watertown, MA",2472,United States of America,https://www.affinittx.com/,,7/16/2024 9:22,,NONE
,Grant Avenue Capital,"65 East 55th Street, 33rd Floor","New York, NY",10022,United States of America,https://grantave.com/,,7/16/2024 9:22,(212) 630-5037,NONE
,Triumvira Immunologics,270 Longwood Rd S,"Hamilton, ON",ON L8P 0A6,Canada,http://www.triumvira.com/,,7/16/2024 9:22,,
,"Somerset Therapeutics, LLC",300 Franklin Square Drive,"Somerset, NJ",8873,United States of America,https://somersettherapeutics.com,,7/16/2024 9:22,(732) 554-1100,NONE
,GentiBio,,"Seattle, WA",98101,United States of America,https://www.gentibio.com/,,7/16/2024 9:22,,
,Spring Science,135 Cowper Street,"Palo Alto, CA",94301,United States of America,https://www.springscience.com/,,7/16/2024 9:22,,NONE
,TherapyNotes,630 Dresher Rd,"Horsham, PA",19044,United States of America,https://www.therapynotes.com/,,7/16/2024 9:22,(215) 658-4550,NONE
,Zealand Pharma,Sydmarken 11,"Søborg, Copenhagen",2860,Denmark,http://www.zealandpharma.com/,,7/16/2024 9:22,+45 8877 3600,ZEAL
,Axcella Therapeutics,"840 Memorial Drive, Third Floor","Cambridge, MA",2139,United States of America,https://axcellatx.com/,,7/16/2024 9:22,(857) 320-2200,AXLA
,SK Biopharmaceuticals (Previously Proteovant),22-10 Route 208 South,"Malvern, PA",19355,United States of America,www.skbp.com,,7/16/2024 9:22,(973) 227-3939,NONE
,Blade Therapeutics,442 Littlefield Avenue,"South San Francisco, CA",94080,United States of America,https://www.blademed.com/,,7/16/2024 9:22,(650) 278-4291,NONE
,Abide Therapeutics,"10835 Road to the Cure, Suite 250","San Diego, CA",92121,United States of America,http://abidetx.com,,7/16/2024 9:22,(858) 427-2590,NONE
,Eidos Therapeutics,1800 Owens Street,"San Francisco, CA",94158,United States of America,https://eidostx.com,,7/16/2024 9:22,(415) 887-1471,NONE
,Verge Genomics,42A Dore Street,"San Francisco, CA",94103,United States of America,https://www.vergegenomics.com/,,7/16/2024 9:22,,NONE
,Protenus,"3500 Boston Street, Suite 414","Baltimore, MD",21224,United States of America,http://protenus.com/,,7/16/2024 9:22,(301) 807-2864,NONE
,Arranta Bio,650 Pleasant Street,"Watertown, MA",2472,United States of America,http://www.arrantabio.com/,,7/16/2024 9:22,,NONE
,MolecuLight,425 University Avenue Suite 700,"Toronto, ON",M5G 1T6,Canada,https://moleculight.com/,,7/16/2024 9:22,(647) 362-4684,
,Multiply Labs,1040 Mariposa St,"San Francisco, CA",94107,United States of America,https://multiplylabs.com/,,7/16/2024 9:22,,NONE
,Spotlight Therapeutics,3953 Point Eden Way,"Hayward, CA",94545,United States of America,www.spotlighttx.com,,7/16/2024 9:22,,
,Ascend Gene & Cell Therapies,1010 Atlantic Ave Suite 102,"Alameda, CA",94501,United States of America,https://www.ascend-gctx.com/contact-us,,7/16/2024 9:22,(703) 471-4744,
,Alector Pharmaceuticals,"131 Oyster Point Blvd, Suite 600","South San Francisco, CA",94080,United States of America,https://alector.com,,7/16/2024 9:22,(415) 231-5660,ALEC
,Technophar Equipment And Service,452 Silver Creek Industrial Drive,"Tecumseh, ON",N8N4Y3,Canada,www.technophar.com,,7/16/2024 9:22,(519) 727-4114,
,TRex Bio,"681 Gateway Blvd, 4th Floor","South San Francisco, CA",94080,United States of America,https://trex.bio/,,7/16/2024 9:22,(650) 567-5582,NONE
,Asceneuron,EPFL Innovation Park,"Bâtiment B, Lausanne",CH-1015,Switzerland,www.asceneuron.com,,7/16/2024 9:22,,NONE
,Samsung Bioepis,"76, Songdogyoyuk-ro, Yeonsu-gu","Incheon, Republic of Korea",21987,Korea (South),http://www.samsungbioepis.com,,7/16/2024 9:22,+82 324 556114,
,OptumInsight (Previously Ingenix),12125 Technology Drive,"Eden Prairie, MN",55344,United States of America,https://www.optum.com/,,7/16/2024 9:22,(888) 445-8745,
,Oncogen Pharma,"No. 3, Jalan Jururancang U1/21","Selangor, Shah Alam",40150,Malaysia,https://oncogenpharma.com/,,7/16/2024 9:22,+60 355 6181 20,NONE
,"Pi Health USA, LLC","55 Cambridge Parkway, Suite 700W","Cambridge, MA",2142,United States of America,https://www.pihealth.ai/,,7/16/2024 9:22,,
,Outpace Bio,"500 Fairview Ave N., Suite 560","Seattle, WA",98109,United States of America,https://www.outpacebio.com/,,7/16/2024 9:22,,NONE
,Skyhawk Therapeutics,35 Gatehouse Drive,"Waltham, MA",2451,United States of America,http://www.skyhawktx.com,,7/16/2024 9:22,(617) 858-0041,NONE
,"CANbridge Pharmaceuticals, Inc.",4 Burlington Woods Drive,"Burlington, MA",1803,United States of America,https://www.canbridgepharma.com/,,7/16/2024 9:22,+86 10 84148018,1228.HK
,Syncona,"2nd Floor, 8 Bloomsbury Street","London, N/A",WC1B 3SR,United Kingdom,https://www.synconaltd.com,,7/16/2024 9:22,+44 20 7611 2031,SYNC.L
,Hexagon Bio,"1490 O'Brien Drive, Suite E","Menlo Park, CA",94025,United States of America,https://www.hexagonbio.com/,,7/16/2024 9:22,,NONE
,Ayala,"1007 North Orange Street, 4th Floor","Wilmington, DE",19801,United States of America,https://www.ayalapharma.com,,7/16/2024 9:22,(857) 444-0553,AYLA
,Piramal Pharma Inc,Piramal,"Lexington, KY",40511,United States of America,http://www.piramal.com/,,7/16/2024 9:22,(617) 725-0070,NONE
,Fairmount Funds,"200 Barr Harbor Drive, Suite 400","West Conshohocken, PA",19428,United States of America,fairmountfunds.com,,7/16/2024 9:22,(215) 906-9530,NONE
,"Tang Capital Management, LLC",4747 Executive Drive Suite 510,"San Diego, CA",92121,United States of America,,,7/16/2024 9:22,(858) 200-3830,
,Potenza Therapeutics,700 Main Street,"Cambridge, MA",2139,United States of America,,,7/16/2024 9:22,,
,StratEvi,312 Arizona Ave,"Santa Monica, CA",90401,United States of America,http://www.stratevi.com/,,7/16/2024 9:22,(844) 787-8384,NONE
,Silicon Therapeutics,300 A Street,"Boston, MA",2210,United States of America,,,7/16/2024 9:22,,NONE
,Halda Therapeutics,"115 Munson Street, Suite 101","New Haven, CT",6511,United States of America,,,7/16/2024 9:22,,NONE
,Prilenia Therapeutics,10 Hamenofim St.,"Herzeliya, ",4672561,Israel,https://www.prilenia.com/,,7/16/2024 9:22,,NONE
,"Vibliome Therapeutics, LLC",533 E Mendenhall St,"Bozeman, MT",59715,United States of America,http://www.vibliome.com,,7/16/2024 9:22,(406) 595-3483,NONE
,Dianthus Therapeutics,"890 Winter St, Suite 315","Waltham, MA",2451,United States of America,https://dianthustx.com/,,7/16/2024 9:22,,NONE
